model_path,split_type,norm,model_id,arel_data_tr,arel_data_un,norm_arel_data_tr,norm_arel_data_un,srel_data_tr,srel_data_un,r_data_tr,r_data_un
linear-california,test,T,16,1.94941118917093,2.94729987329096,0.611346797029937,0.924290548567883,0.142357868768483,0.0524812207543826,0.707920380891064,0.30721788287764
linear-california,train,E,16,2.1568352009068,2.59475341385752,0.641648440880194,0.771927072485768,0.115690680031814,0.0746642849826664,0.657524654020494,0.406413986637221
linear-california,train,T,16,2.16910070217308,2.67881678475589,0.649640446181078,0.80229918765077,0.114280342777259,0.0686443271365427,0.680699748141823,0.426729763866795
linear-california,union,E,16,2.18319728832005,2.8180586303845,0.644417222419126,0.831810081902414,0.112680681451704,0.0597217722726359,0.641597940974475,0.354412384357305
linear-california,union,T,16,2.20477902696598,3.3118916776225,0.654573384526355,0.983262321571182,0.110274890389478,0.0364471622193584,0.667417096852072,0.356739521041197
linear-california,test,E,17,1.88005499629392,2.98452442098707,0.58924468472159,0.935406227453504,0.152581714097335,0.0505635447926489,0.68082558324182,0.373318092045041
linear-california,test,T,17,1.94935083148188,5.14365299390443,0.611327868504197,1.6130797854886,0.142366461419773,0.00583633064454476,0.706342709716378,0.321566573290131
linear-california,train,E,17,2.15838142323025,5.16113606603406,0.642108434829978,1.53541397532319,0.115511934745322,0.00573518043951176,0.659255801015378,0.411165793566413
linear-california,train,T,17,2.18500968990119,5.81266264455058,0.654405149763364,1.74087848946933,0.112476643761445,0.00298945959745776,0.677691057323529,0.422175605932385
linear-california,union,E,17,2.18456392418799,5.75174092219621,0.644820614130351,1.69774895241292,0.112526793169382,0.00317724464317971,0.643160944848148,0.363319113041781
linear-california,union,T,17,2.22068837457895,7.65703308513276,0.659296685766642,2.27328453358104,0.108534370802229,0.000472707816174398,0.664368991010659,0.355696326608005
linear-california,test,E,18,1.87180974589852,1.75478866064399,0.586660467781517,0.549983853202419,0.153844989389495,0.172943788258615,0.675965100397627,0.434807641839848
linear-california,test,T,18,1.92727133767749,2.7075596171692,0.604403609583174,0.849106596350237,0.145544799753399,0.0666993802859325,0.706919478353615,0.351728820703573
linear-california,train,E,18,2.14592749015476,3.12396433767453,0.638403447662969,0.92936486097382,0.116959507929953,0.0439824610216941,0.654200342921017,0.43020795170433
linear-california,train,T,18,2.14926971235462,3.43694572678804,0.643701112400507,1.02935698338665,0.116569255784033,0.0321627693487575,0.680270343455756,0.437762380809705
linear-california,union,E,18,2.17346250413356,3.2330354937911,0.641543793334239,0.954299349874369,0.11378296008506,0.0394376043079716,0.63809591772452,0.405880319635494
linear-california,union,T,18,2.19133033572454,3.97901516222432,0.650580623693776,1.18132356574664,0.111767960759314,0.0187040507258424,0.666345050258515,0.385757452672381
linear-california,test,E,19,1.87361181889125,2.53471568190306,0.587225271435953,0.794427687374066,0.15356799914233,0.0792842580098475,0.683414146303263,0.263162002209572
linear-california,test,T,19,1.93016200855242,5.47604821498692,0.605310140945295,1.71732087884319,0.145124685138834,0.00418583859083231,0.70842878383719,0.262624909966493
linear-california,train,E,19,2.14649878944648,6.55708334079832,0.638573406545153,1.95070179704775,0.11689270812907,0.00142002139469149,0.662853055006697,0.354675993969839
linear-california,train,T,19,2.1753203489536,7.40933946097642,0.651503215440955,2.21907935787101,0.113571765246423,0.000605570565445351,0.677995377776773,0.38059573481663
linear-california,union,E,19,2.17122488945015,6.98495318461582,0.640883313657553,2.06175784205989,0.11403784757091,0.000925706632919098,0.646793330516068,0.327928949976152
linear-california,union,T,19,2.20303844824252,9.19481268957779,0.65405662684129,2.72983350652839,0.110466999659575,0.000101564886326562,0.665371265555651,0.332564607138357
linear-california,test,E,20,1.87629341617378,3.12232140721083,0.588065734586451,0.978594401130903,0.153156743270905,0.0440547805384767,0.680035669243945,0.46011665610917
linear-california,test,T,20,1.93527095028087,4.25523428423405,0.606912335074095,1.33446646081109,0.144385142328246,0.0141897659176762,0.708355593301906,0.401931752084317
linear-california,train,E,20,2.15315418977579,6.49449748625755,0.640553357189015,1.9320827964072,0.116117323470643,0.00151173468991013,0.658281196766403,0.37770775324971
linear-california,train,T,20,2.16873938865848,6.87263877585679,0.649532233651988,2.05833879280757,0.11432164126996,0.00103574036876086,0.680062153974992,0.386710184187498
linear-california,union,E,20,2.1784887849604,6.57484919772595,0.643027407273693,1.94070690747489,0.113212489847179,0.00139501627414101,0.642402875517007,0.365890483193991
linear-california,union,T,20,2.19997277018353,7.11850570136607,0.653146462494481,2.11340198392827,0.110806175553079,0.000809976193584545,0.667164496114173,0.369688376904369
linear-california,test,E,21,2.03324549007317,1.77678650606275,0.637257473915116,0.556878392731251,0.130909963962702,0.169180936590436,0.672222311428514,0.565196919342567
linear-california,test,T,21,2.04964088098938,2.04568104558289,0.642779416992771,0.64153758935478,0.12878114304125,0.129292106168423,0.708656868426874,0.529157014850061
linear-california,train,E,21,2.38190123395165,3.03241665403545,0.708604538934234,0.902129850877308,0.0923747843750272,0.04819901691753,0.646375581928015,0.490712136118757
linear-california,train,T,21,2.37897158511579,3.18690082224905,0.712496271131359,0.954469135539252,0.0926458068610448,0.0412996678157757,0.675911592430919,0.509274089988982
linear-california,union,E,21,2.44218221683046,3.07053964223415,0.720862145272395,0.906335235098676,0.0869708549671363,0.0463961107997357,0.629164874351157,0.479721179029479
linear-california,union,T,21,2.44958583936598,3.24597828904837,0.727253694792318,0.9636933991001,0.0863293333078163,0.0389304604788861,0.661117681349144,0.498496819919006
linear-california,test,E,22,1.90603739585,1.8064253417667,0.597388058646774,0.56616776268815,0.148668334683344,0.164240191258373,0.677674197707807,0.383137618683601
linear-california,test,T,22,1.94948941236585,2.863562212402,0.611371328283239,0.898029926355586,0.142346733516688,0.0570651196982185,0.708902547528513,0.336879236184397
linear-california,train,E,22,2.15416052667331,3.61580478172414,0.640852737735577,1.07568510554029,0.116000529100692,0.0268952716820966,0.657809505973082,0.41183459125495
linear-california,train,T,22,2.16079038021648,3.93705942989364,0.647151524731567,1.17913983528527,0.115234006356295,0.0195054877506616,0.68195275816681,0.439839028234128
linear-california,union,E,22,2.17975950982415,3.82253526820056,0.643402488807338,1.12830277561789,0.113068719287202,0.0218722784498296,0.641996508729234,0.38131651743782
